date,open,high,low,close
2006/7/18,14680,14715,14400,14400
2006/7/19,14500,14650,14465,14560
2006/7/20,14860,14975,14780,14975
2006/7/21,14840,14875,14790,14820
2006/7/24,14685,14870,14560,14775
2006/7/25,15000,15100,14985,15045
2006/7/26,15110,15125,14865,14870
2006/7/27,14910,15240,14840,15205
2006/7/28,15230,15380,15155,15350
2006/7/31,15525,15550,15415,15415
2006/8/1,15385,15540,15365,15435
2006/8/2,15330,15490,15290,15470
2006/8/3,15540,15590,15440,15520
2006/8/4,15515,15565,15440,15485
2006/8/7,15505,15525,15155,15195
2006/8/8,15230,15490,15190,15435
2006/8/9,15410,15685,15235,15685
2006/8/10,15600,15700,15535,15585
2006/8/11,15620,15680,15560,15605
2006/8/14,15575,15895,15550,15835
2006/8/15,15820,15930,15810,15860
2006/8/16,16020,16100,15980,16070
2006/8/17,16175,16215,16010,16045
2006/8/18,16060,16180,16025,16145
2006/8/21,16110,16150,15925,15995
2006/8/22,16020,16255,16005,16185
2006/8/23,16165,16235,16120,16175
2006/8/24,16105,16110,15910,15945
2006/8/25,15950,16175,15870,15975
2006/8/28,15965,16015,15740,15755
2006/8/29,15890,15950,15810,15915
2006/8/30,15935,15975,15765,15905
2006/8/31,15885,16235,15875,16165
2006/9/1,16060,16170,16030,16135
2006/9/4,16315,16425,16310,16365
2006/9/5,16350,16410,16280,16405
2006/9/6,16345,16400,16240,16290
2006/9/7,16115,16140,15935,15965
2006/9/8,15895,16130,15780,15980
2006/9/11,16010,16020,15720,15765
2006/9/12,15800,15850,15625,15650
2006/9/13,15890,15925,15680,15740
2006/9/14,15795,15970,15755,15905
2006/9/15,15825,15870,15720,15855
2006/9/19,15905,16065,15800,15830
2006/9/20,15700,15720,15570,15660
2006/9/21,15790,15825,15630,15785
2006/9/22,15640,15700,15530,15565
2006/9/25,15490,15650,15465,15590
2006/9/26,15610,15685,15530,15585
2006/9/27,15700,15955,15695,15950
2006/9/28,15990,16060,15920,16055
2006/9/29,16105,16140,16020,16105
2006/10/2,16180,16350,16165,16295
2006/10/3,16210,16280,16165,16255
2006/10/4,16310,16385,16040,16110
2006/10/5,16375,16510,16310,16470
2006/10/6,16460,16480,16380,16475
2006/10/10,16340,16640,16335,16510
2006/10/11,16535,16625,16420,16425
2006/10/12,16415,16530,16360,16365
2006/10/13,16540,16615,16515,16570
2006/10/16,16685,16740,16665,16715
2006/10/17,16705,16710,16575,16630
2006/10/18,16540,16700,16480,16690
2006/10/19,16695,16700,16505,16525
2006/10/20,16585,16675,16570,16630
2006/10/23,16635,16820,16615,16775
2006/10/24,16865,16920,16765,16800
2006/10/25,16865,16870,16710,16710
2006/10/26,16815,16880,16790,16835
2006/10/27,16875,16905,16650,16695
2006/10/30,16560,16560,16340,16385
2006/10/31,16400,16495,16320,16355
2006/11/1,16320,16460,16245,16395
2006/11/2,16260,16360,16215,16360
2006/11/6,16280,16410,16210,16385
2006/11/7,16525,16545,16390,16430
2006/11/8,16405,16440,16205,16225
2006/11/9,16230,16300,16110,16245
2006/11/10,16190,16295,16085,16085
2006/11/13,16020,16080,15920,16005
2006/11/14,16210,16330,16205,16305
2006/11/15,16340,16390,16255,16280
2006/11/16,16300,16380,16145,16175
2006/11/17,16200,16250,16065,16075
2006/11/20,16005,16040,15705,15705
2006/11/21,15765,15830,15695,15695
2006/11/22,15705,15905,15680,15865
2006/11/24,15775,15785,15630,15730
2006/11/27,15615,15910,15605,15885
2006/11/28,15700,15865,15650,15855
2006/11/29,15960,16130,15955,16095
2006/11/30,16170,16310,16150,16310
2006/12/1,16310,16380,16240,16340
2006/12/4,16250,16360,16185,16235
2006/12/5,16355,16400,16230,16290
2006/12/6,16305,16400,16245,16400
2006/12/7,16480,16550,16410,16485
2006/12/8,16525,16525,16360,16385
2006/12/11,16480,16620,16480,16580
2006/12/12,16630,16700,16590,16670
2006/12/13,16630,16700,16590,16695
2006/12/14,16720,16850,16720,16850
2006/12/15,16960,16975,16870,16920
2006/12/18,16970,17005,16940,16965
2006/12/19,16880,16965,16760,16810
2006/12/20,16835,17065,16835,17005
2006/12/21,17050,17120,17015,17060
2006/12/22,17050,17115,17010,17110
2006/12/25,17145,17145,17070,17085
2006/12/26,17095,17215,17080,17190
2006/12/27,17240,17280,17230,17265
2006/12/28,17310,17315,17180,17245
2006/12/29,17270,17300,17240,17265
2007/1/4,17345,17390,17330,17360
2007/1/5,17325,17335,17015,17080
2007/1/9,16995,17290,16995,17260
2007/1/10,17230,17235,16860,16950
2007/1/11,16975,17080,16770,16870
2007/1/12,16995,17180,16945,17085
2007/1/15,17150,17290,17150,17255
2007/1/16,17225,17310,17190,17235
2007/1/17,17155,17365,17010,17270
2007/1/18,17240,17430,17225,17385
2007/1/19,17350,17400,17250,17335
2007/1/22,17460,17495,17415,17430
2007/1/23,17360,17450,17335,17435
2007/1/24,17515,17570,17515,17535
2007/1/25,17630,17640,17435,17485
2007/1/26,17400,17430,17310,17385
2007/1/29,17385,17505,17325,17495
2007/1/30,17525,17565,17460,17515
2007/1/31,17490,17515,17265,17395
2007/2/1,17375,17565,17360,17565
2007/2/2,17580,17655,17540,17590
2007/2/5,17535,17545,17300,17345
2007/2/6,17410,17445,17350,17415
2007/2/7,17355,17380,17190,17310
2007/2/8,17380,17405,17220,17290
2007/2/9,17335,17550,17295,17525
2007/2/13,17460,17640,17450,17605
2007/2/14,17650,17795,17650,17780
2007/2/15,17940,17945,17820,17890
2007/2/16,17815,17895,17790,17865
2007/2/19,17835,17985,17810,17920
2007/2/20,17910,17955,17825,17955
2007/2/21,17895,17975,17850,17930
2007/2/22,18040,18140,18035,18105
2007/2/23,18115,18240,18055,18215
2007/2/26,18265,18315,18150,18215
2007/2/27,18240,18275,18070,18110
2007/2/28,17410,17585,17340,17545
2007/3/1,17485,17560,17260,17395
2007/3/2,17345,17370,17160,17165
2007/3/5,16840,16945,16520,16625
2007/3/6,16660,16880,16635,16825
2007/3/7,17005,17010,16725,16775
2007/3/8,16695,17090,16670,17085
2007/3/9,17085,17195,17035,17120
2007/3/12,17260,17275,17140,17275
2007/3/13,17205,17245,17090,17125
2007/3/14,16700,16775,16550,16550
